TIME,REGION_ID,SPEED,REGION,BUS_COUNT,NUM_READS,HOUR,DAY_OF_WEEK,MONTH,DESCRIPTION,RECORD_ID,WEST,EAST,SOUTH,NORTH,NW_LOCATION,SE_LOCATION,Community Areas,Zip Codes,Wards
09/18/2018 11:50:28 PM,1,27.2,Rogers Park - West Ridge,9,123,23,3,9,North of Devon. Kedzie to Lake Shore,01-201809190450,-87.709645,-87.654561,41.997946,42.026444,POINT (-87.709645 42.026444),POINT (-87.654561 41.997946),,"9,458",
09/18/2018 11:50:28 PM,2,25.91,Far North West,20,211,23,3,9,North of Montrose. East River to Cicero,02-201809190450,-87.84621,-87.747456,41.960669,42.0190998,POINT (-87.84621 42.0190998),POINT (-87.747456 41.960669),,"9,012",
09/18/2018 11:50:28 PM,3,25.23,North Park-Albany-Linconl Sq,33,397,23,3,9,Montrose to Devon. Cicero to Ravenswood,03-201809190450,-87.747456,-87.67459,41.960669,41.997946,POINT (-87.747456 41.997946),POINT (-87.67459 41.960669),,"4,455",
09/18/2018 11:50:28 PM,4,20.45,Edge Water-Uptown,12,193,23,3,9,Montrose to Devon. Ravenswood to Lake Shore,04-201809190450,-87.67459,-87.646438,41.960669,41.997946,POINT (-87.67459 41.997946),POINT (-87.646438 41.960669),76,"4,451",24
09/18/2018 11:50:28 PM,5,26.52,Dunning-Portage-Belmont Cragn,17,322,23,3,9,North Ave to Montrose. East River to Cicero,05-201809190450,-87.84621,-87.747456,41.909269,41.960669,POINT (-87.84621 41.960669),POINT (-87.747456 41.909269),75,"4,448",19
09/18/2018 11:50:28 PM,6,30.68,Irving Park-Avondale-North Ctr,19,291,23,3,9,Diversey to Montrose. Cicero to Ravenswood,06-201809190450,-87.747456,-87.67459,41.931841,41.960669,POINT (-87.747456 41.960669),POINT (-87.67459 41.931841),15,"22,618",50
09/18/2018 11:50:28 PM,7,25.23,Hermosa-Logan Square,18,223,23,3,9,North Ave to Diversy. Cicero to Ravenswood,07-201809190450,-87.747456,-87.67459,41.909269,41.931841,POINT (-87.747456 41.931841),POINT (-87.67459 41.909269),19,"22,615",17
09/18/2018 11:50:28 PM,8,22.5,Lincoln Park-Lake View,28,406,23,3,9,North Ave to Montrose. Ravenswood to Lake Shore,08-201809190450,-87.67459,-87.619112,41.910561,41.960669,POINT (-87.67459 41.960669),POINT (-87.619112 41.910561),46,"21,186",18
09/18/2018 11:50:28 PM,9,27.27,Austin,10,138,23,3,9,Roosevelt to North Ave. Austin to Cicero,09-201809190450,-87.775947,-87.747456,41.866129,41.909269,POINT (-87.775947 41.909269),POINT (-87.747456 41.866129),26,"22,615",7
09/18/2018 11:50:28 PM,10,23.86,Humboldt-Garfield Prk E/W,50,539,23,3,9,Roosevelt to North Ave. Cicero to Rockwell,10-201809190450,-87.747456,-87.691617,41.866129,41.909269,POINT (-87.747456 41.909269),POINT (-87.691617 41.866129),26,"22,615",45
09/18/2018 11:50:28 PM,11,25.91,West Town-Near West,24,360,23,3,9,Roosevelt to North. Rockwell to Halsted,11-201809190450,-87.691617,-87.647208,41.866129,41.910561,POINT (-87.691617 41.910561),POINT (-87.647208 41.866129),25,"22,535",41
09/18/2018 11:50:28 PM,12,19.09,Near North,13,203,23,3,9,Wacker to North. Halsted to  Michigan,12-201809190450,-87.647208,-87.62308,41.88886,41.911401,POINT (-87.647208 41.911401),POINT (-87.62308 41.88886),68,"21,190",11
09/18/2018 11:50:28 PM,13,22.36,Chicago Loop,27,323,23,3,9,Roosevelt to Wacker: Halsted to Michigan,13-201809190450,-87.647208,-87.62308,41.866129,41.88886,POINT (-87.647208 41.88886),POINT (-87.62308 41.866129),25,"4,452",36
09/18/2018 11:50:28 PM,14,26.18,Lawndale N/S,17,317,23,3,9,Pershing to Roosevel. Cicero to Western,14-201809190450,-87.747456,-87.685372,41.822792,41.866129,POINT (-87.747456 41.866129),POINT (-87.685372 41.822792),26,"22,216",7
09/18/2018 11:50:28 PM,15,27.95,Bridgeport-McKinley-Lower West,11,145,23,3,9,Pershing to Roosevel. Western to Stewart,15-201809190450,-87.685372,-87.636322,41.822792,41.866129,POINT (-87.685372 41.866129),POINT (-87.636322 41.822792),29,"14,920",23
09/18/2018 11:50:28 PM,16,28.64,Near South-Douglas,14,250,23,3,9,Pershing to Roosevelt. Stewart to Lake Shore,16-201809190450,-87.636322,-87.597952,41.822792,41.866129,POINT (-87.636322 41.866129),POINT (-87.597952 41.822792),29,"14,917",26
09/18/2018 11:50:28 PM,17,32.73,Midway-Garfield Rdg-Clearing,6,63,23,3,9,71st to Pershing. Halem to Cicero,17-201809190450,-87.802188,-87.747456,41.764066,41.822792,POINT (-87.802188 41.822792),POINT (-87.747456 41.764066),,"26,624",
